LikelihoodQRing,LikelihoodTRing,LikelihoodThetaRing,LikelihoodPhiRing
-0.422472,-0.121837,0.161252,-0.103609
-1.44142,-1.40141,-2.4718,-0.246539
-0.0236931,-0.89919,-1.22982,0.0477567
-2.00947,-2.38646,-5.58543,-2.48386
0.242465,-0.220754,0.0858006,-0.772193
0.396348,-0.499138,-0.336182,0.121143
-0.904088,-0.358924,-0.710927,-0.116522
1.1032,-0.175438,-0.781959,-0.207811
-1.87873,-1.14676,-1.4752,-1.29282
-0.0281806,0.0267159,0.0992179,0.213414
0.165159,-1.01519,-0.337848,-1.46391
0.0830906,-0.0196711,0.0498047,0.301768
-0.327165,-1.00893,-1.09827,-0.715841
0.0157527,-0.365933,-0.543257,-0.304611
-2.36375,-1.75177,-3.19208,-1.15326
0.121422,0.0411928,0.192714,0.0163068
0.233592,-0.169546,-2.06896,-0.0211209
-0.757759,-0.0199763,0.0707368,-0.0225324
-1.10084,-0.0371552,0.169513,-0.867346
-1.69931,-0.959511,-1.5255,-0.218788
0.769048,0.0166355,0.113108,0.0977276
-0.135566,0.0286186,0.159122,-0.476866
-0.0495718,-0.254149,0.169201,-0.0242484
-0.985596,-1.23077,-4.49791,-0.226022
0.217495,-0.344844,0.102438,0.115558
-0.475143,0.0361494,0.120635,0.279582
-0.540484,-1.09135,-0.184186,-1.63153
-0.168732,-0.432022,-1.24007,-0.0652027
-0.507775,0.0179361,0.104783,0.158964
-0.35495,-0.309081,-0.149345,-0.0684569
0.480813,0.0416958,0.135676,0.217212
0.148085,-0.536485,-0.272263,-0.433998
-2.22663,0.0240094,-0.533122,0.0874429
-1.34341,-0.940433,-2.8643,-1.02066
-0.953437,0.0339225,0.0605362,0.130146
0.37133,0.300854,-0.15975,-0.283937
-0.0165755,-0.34447,-0.948122,-0.406108
-0.342676,0.00788561,0.126744,0.181202
-0.0838297,-0.271264,-0.438306,0.0890053
-0.360127,-0.13551,-0.132449,-1.05359
0.433241,-0.158168,-0.0939538,-0.274989
0.284454,-0.12741,-0.073561,0.203874
-0.97883,-1.04413,-0.643934,-1.69556
0.228682,-0.439778,-1.25942,-0.303529
0.195343,0.0359907,-0.0409043,0.385939
0.758779,-0.148094,-0.18858,0.248104
0.863737,-0.195755,-1.07167,-0.706464
-0.255184,-0.786043,-0.540659,-0.635818
-0.79631,-0.905323,-0.946814,-0.321312
-0.732151,0.0169844,0.0311195,-0.0214038
-0.370865,-0.320672,-0.253238,-0.667475
-1.74209,-1.76606,-2.06371,-2.36863
-0.276923,0.0391072,0.213167,0.200041
0.308684,0.0401161,0.10837,0.22741
0.386802,0.0565042,0.160476,-0.179586
0.041892,-0.0707699,-0.271879,0.291796
-0.0715821,-0.423889,-0.307723,-0.322339
-0.189733,0.0799385,0.170739,0.231282
-0.301995,-0.248574,0.0389641,0.190747
-0.649946,-0.0550307,0.0237447,0.177546
-0.919824,-0.380425,-0.0771129,-0.723053
-1.20225,-0.866536,-0.936277,-0.385757
-2.19995,-0.0314756,-0.0719855,-0.0601654
-0.90759,-0.667829,-0.347288,-1.37302
-0.587831,-0.167728,0.0699595,-0.088872
0.112739,-0.651907,-2.28615,-0.416846
-1.35147,-1.44464,-3.50167,-0.335754
-0.0926025,-0.123096,-0.432306,-0.644524
-0.617599,0.0154357,0.0466286,0.150734
-1.28949,-0.0317094,-0.213739,0.0512894
0.0908948,-0.110712,0.131567,0.356903
-2.1743,-0.832411,-5.66402,-1.47086
0.119316,0.132826,0.128784,0.270073
0.30258,-0.166229,-0.156379,0.180262
0.0136071,0.0868542,0.210458,0.216302
-0.414699,-0.645869,-0.589042,-0.341326
0.305245,-0.0633794,0.107446,-0.0892107
0.0750798,-0.0306501,0.139646,0.16962
-1.03047,-0.510707,-0.584338,0.00130675
0.722502,-0.0286076,0.131188,-0.472752
-0.235083,-0.502364,0.135901,-0.32122
-1.33374,-0.681813,-0.173754,-1.63808
0.211117,-0.33585,-1.3648,0.0383387
0.620049,-0.48198,-0.432217,-0.641866
0.435875,-0.644222,-2.76426,-0.582941
-0.687959,-0.752839,-0.75658,-1.07273
0.319666,-0.0966944,-0.198614,-0.669088
-0.0779387,0.661535,0.114466,0.148668
-0.847683,-1.21633,-6.35019,-2.82862
-0.145289,-0.194336,-1.29259,-0.684333
-0.717878,0.0406093,-0.00463838,-0.411436
0.707989,-0.438402,-0.238957,0.0100414
0.287305,-0.3935,-0.735739,-0.00647262
-0.272729,0.176862,0.136051,0.241224
-0.348872,-0.0438142,-0.103341,-0.849198
0.0849291,-1.10935,-0.163129,-0.058408
-1.47413,-0.853445,-1.34936,-0.846368
-0.665693,-1.03227,-0.740721,-0.987459
0.319333,0.044989,0.0773836,0.327193
